Time,CPU Usage
39998.597960,2.4
39998.597983,0.3
39998.598006,0.5
39998.598029,31.0
39998.598058,50.8
39998.598080,91.4
39998.598128,82.6
39998.598152,85.3
39998.598204,94.8
39998.598205,77.8
39998.598287,99.0
39998.598321,0.5
39998.598326,79.8
39998.598352,90.9
39998.598393,95.1
39998.598428,95.2
39998.598441,91.9
39998.598463,91.7
39998.598491,96.3
39998.598510,91.6
39998.598532,92.6
39998.598566,93.6
39998.598580,90.4
39998.598601,93.2
39998.598626,49.3
39998.598648,0.5
39998.598671,0.2
39998.598694,0.3
39998.598717,0.0
39998.598740,0.3
39998.598774,58.7
39998.598787,79.9
39998.598810,83.9
39998.598833,83.5
39998.598856,82.5
39998.598879,82.5
39998.598902,81.9
39998.598926,82.2
39998.598949,81.7
39998.598972,83.4
39998.598995,81.8
39998.599018,83.5
39998.599041,84.0
39998.599064,83.3
39998.599088,83.5
39998.599111,83.6
39998.599134,83.3
39998.599157,82.9
39998.599180,80.2
39998.599203,83.0
39998.599226,82.2
39998.599250,83.9
39998.599273,83.0
39998.599296,89.6
39998.599319,82.0
39998.599342,84.0
39998.599365,83.3
39998.599388,82.0
39998.599412,84.1
39998.599435,83.2
39998.599458,84.3
39998.599481,89.2
39998.599504,83.8
39998.599527,83.8
39998.599551,83.3
39998.599574,83.7
39998.599597,83.5
39998.599620,83.0
39998.599643,83.7
39998.599666,83.7
39998.599689,83.8
39998.599713,83.7
39998.599736,83.8
39998.599759,83.8
39998.599782,85.9
39998.599805,87.6
39998.599829,83.8
39998.599851,83.0
39998.599875,84.0
39998.599898,83.4
39998.599921,81.2
39998.599944,84.2
39998.599967,82.8
39998.599990,83.5
39998.600014,83.3
39998.600037,81.4
39998.600060,84.1
39998.600083,83.0
39998.600106,83.5
39998.600129,82.9
39998.600152,83.3
39998.600175,83.2
39998.600199,83.2
39998.600222,83.0
39998.600245,83.0
39998.600268,83.2
39998.600291,82.9
39998.600314,82.4
39998.600338,83.2
39998.600361,83.2
39998.600384,83.5
39998.600407,83.1
39998.600430,83.3
39998.600454,83.0
39998.600476,83.0
39998.600500,83.6
39998.600523,82.6
39998.600564,64.2
39998.600569,0.0
39998.600592,0.5
39998.600615,0.3
39998.600638,0.0
39998.600662,0.3
39998.600686,19.6
39998.600713,54.4
39998.600732,95.5
39998.600755,95.5
39998.600778,95.9
39998.600801,96.5
39998.600825,97.0
39998.600847,96.2
39998.600873,96.8
39998.600894,94.9
39998.600917,96.7
39998.600940,95.8
39998.600963,97.4
39998.600987,95.5
39998.601009,95.3
39998.601033,96.0
39998.601056,96.2
39998.601079,98.1
39998.601103,94.9
39998.601125,96.3
39998.601148,96.8
39998.601172,96.3
39998.601195,95.0
39998.601218,94.1
39998.601241,97.2
39998.601264,95.8
39998.601287,95.9
39998.601311,97.3
39998.601333,96.4
39998.601356,95.3
39998.601379,95.9
39998.601402,94.8
39998.601426,89.7
39998.601449,91.1
39998.601472,68.5
39998.601496,91.8
39998.601519,73.2
39998.601548,75.9
39998.601566,93.9
39998.601598,60.1
39998.601611,0.0
39998.601634,0.3
39998.601657,0.2
39998.601680,0.0
39998.601703,0.2
39998.601746,44.6
39998.601750,74.6
39998.601773,84.5
39998.601796,84.5
39998.601819,83.9
39998.601842,84.1
39998.601865,84.0
39998.601888,83.8
39998.601912,84.6
39998.601935,83.8
39998.601958,83.7
39998.601981,84.0
39998.602004,84.0
39998.602027,84.7
39998.602050,83.2
39998.602074,85.1
39998.602097,83.5
39998.602120,84.3
39998.602143,83.9
39998.602166,84.4
39998.602189,83.5
39998.602213,84.0
39998.602236,83.5
39998.602259,84.3
39998.602282,84.0
39998.602305,83.7
39998.602328,83.5
39998.602351,84.1
39998.602375,84.1
39998.602398,83.2
39998.602421,84.5
39998.602444,84.2
39998.602467,84.0
39998.602490,84.2
39998.602513,83.9
39998.602537,84.2
39998.602560,83.7
39998.602583,84.3
39998.602606,84.0
39998.602629,83.6
39998.602652,83.9
39998.602675,83.9
39998.602699,84.0
39998.602722,84.0
39998.602745,83.8
39998.602768,85.0
39998.602791,84.7
39998.602814,84.5
39998.602838,84.5
39998.602861,84.6
39998.602884,84.4
39998.602907,84.4
39998.602930,84.3
39998.602954,82.4
39998.602976,84.1
39998.603000,84.7
39998.603023,84.5
39998.603046,83.9
39998.603069,84.9
39998.603093,84.2
39998.603115,83.7
39998.603138,84.1
39998.603162,84.5
39998.603185,83.8
39998.603208,84.9
39998.603231,84.0
39998.603254,83.0
39998.603277,80.7
39998.603301,80.0
39998.603324,67.1
39998.603347,81.3
39998.603370,84.5
39998.603393,85.2
39998.603416,85.1
39998.603440,84.9
39998.603463,83.1
39998.603496,59.5
39998.603509,0.0
39998.603532,0.3
39998.603555,0.2
39998.603578,0.0
39998.603601,0.3
39998.603645,45.0
39998.603648,78.8
39998.603672,95.2
39998.603695,95.3
39998.603718,96.2
39998.603741,96.2
39998.603764,97.1
39998.603787,96.1
39998.603811,95.7
39998.603833,96.4
39998.603856,96.0
39998.603880,96.2
39998.603905,96.7
39998.603926,95.2
39998.603949,96.4
39998.603973,96.5
39998.603996,96.3
39998.604019,96.3
39998.604044,95.9
39998.604065,96.6
39998.604088,96.7
39998.604111,96.4
39998.604134,96.3
39998.604158,96.0
39998.604181,95.9
39998.604204,96.8
39998.604227,97.0
39998.604250,96.2
39998.604273,95.1
39998.604296,97.1
39998.604319,93.1
39998.604342,84.0
39998.604365,84.3
39998.604388,84.7
39998.604413,50.0
39998.604435,0.0
39998.604458,0.2
39998.604481,0.0
39998.604504,0.3
39998.604527,0.5
39998.604551,60.9
39998.604574,83.6
39998.604597,83.5
39998.604620,81.5
39998.604643,83.9
39998.604666,83.5
39998.604689,83.8
39998.604713,83.3
39998.604736,84.0
39998.604759,83.5
39998.604782,83.5
39998.604805,83.7
39998.604828,84.0
39998.604851,82.8
39998.604875,83.0
39998.604898,83.9
39998.604921,84.0
39998.604944,83.9
39998.604967,83.6
39998.604990,81.9
39998.605013,80.3
39998.605037,84.0
39998.605060,84.0
39998.605083,83.9
39998.605106,83.9
39998.605129,84.0
39998.605152,84.3
39998.605176,84.2
39998.605199,82.5
39998.605222,84.0
39998.605245,83.8
39998.605268,83.8
39998.605291,84.0
39998.605314,84.0
39998.605338,83.8
39998.605361,83.9
39998.605384,84.3
39998.605407,85.9
39998.605430,88.7
39998.605453,83.8
39998.605477,84.0
39998.605500,84.5
39998.605523,84.2
39998.605546,84.4
39998.605569,83.7
39998.605592,84.5
39998.605615,84.5
39998.605639,84.2
39998.605662,84.8
39998.605685,84.3
39998.605708,84.0
39998.605731,84.7
39998.605754,84.7
39998.605777,84.3
39998.605801,84.3
39998.605824,84.7
39998.605847,83.2
39998.605870,83.3
39998.605893,84.4
39998.605916,83.5
39998.605939,84.5
39998.605963,84.5
39998.605986,84.5
39998.606009,84.4
39998.606032,84.0
39998.606055,84.8
39998.606078,84.6
39998.606101,84.2
39998.606125,84.5
39998.606148,84.1
39998.606171,84.2
39998.606194,84.7
39998.606217,84.6
39998.606240,84.3
39998.606263,83.0
39998.606287,84.7
39998.606310,84.7
39998.606333,84.3
39998.606356,84.5
39998.606379,84.3
39998.606403,84.0
39998.606426,83.5
39998.606449,84.3
39998.606472,84.3
39998.606495,84.3
39998.606518,84.9
39998.606541,84.6
39998.606564,85.2
39998.606588,52.7
39998.606611,0.0
39998.606634,0.3
39998.606657,0.0
39998.606680,0.3
39998.606703,13.0
39998.606733,77.4
39998.606750,96.3
39998.606773,97.4
39998.606796,96.4
39998.606820,95.9
39998.606843,97.1
39998.606866,94.1
39998.606889,96.0
39998.606912,97.2
39998.606935,96.3
39998.606958,96.0
39998.606982,96.5
39998.607005,97.0
39998.607028,96.5
39998.607051,97.4
39998.607074,96.0
39998.607098,97.6
39998.607121,96.3
39998.607144,96.7
39998.607167,96.7
39998.607190,96.5
39998.607213,97.0
39998.607236,97.0
39998.607260,96.7
39998.607283,96.6
39998.607305,96.1
39998.607329,96.6
39998.607352,96.3
39998.607376,95.1
39998.607398,96.9
39998.607422,97.0
39998.607445,96.5
39998.607468,97.1
39998.607491,96.8
39998.607514,97.1
39998.607537,96.3
39998.607560,97.5
39998.607583,96.9
39998.607606,88.6
39998.607630,86.9
39998.607653,89.5
39998.607676,88.9
39998.607700,90.0
39998.607722,88.9
39998.607745,33.0
39998.607768,0.0
39998.607791,0.2
39998.607814,0.0
39998.607838,0.5
39998.607868,30.7
39998.607884,80.8
39998.607907,83.3
39998.607930,83.5
39998.607953,83.5
39998.607976,83.5
39998.608000,83.3
39998.608023,82.4
39998.608046,83.6
39998.608069,83.4
39998.608092,83.1
39998.608115,82.7
39998.608139,83.5
39998.608162,83.1
39998.608185,83.7
39998.608208,82.8
39998.608231,83.3
39998.608254,83.5
39998.608277,83.2
39998.608301,83.4
39998.608324,83.3
39998.608347,83.4
39998.608370,81.9
39998.608393,83.5
39998.608416,83.2
39998.608439,83.0
39998.608463,83.5
39998.608486,83.0
39998.608509,83.3
39998.608532,83.4
39998.608555,83.2
39998.608578,83.1
39998.608601,83.2
39998.608625,83.5
39998.608648,83.5
39998.608671,83.0
39998.608694,83.5
39998.608717,82.2
39998.608740,83.2
39998.608764,83.3
39998.608787,83.3
39998.608810,83.0
39998.608833,83.2
39998.608856,83.4
39998.608879,83.0
39998.608902,83.4
39998.608926,83.5
39998.608949,83.4
39998.608972,83.3
39998.608995,83.4
39998.609018,83.6
39998.609041,83.3
39998.609064,82.7
39998.609088,83.7
39998.609111,84.0
39998.609134,83.8
39998.609157,83.5
39998.609180,83.7
39998.609203,84.0
39998.609227,82.3
39998.609250,83.4
39998.609273,84.1
39998.609296,83.3
39998.609319,83.7
39998.609342,84.1
39998.609365,83.2
39998.609389,83.9
39998.609412,82.8
39998.609435,83.6
39998.609458,84.0
39998.609481,83.8
39998.609504,83.9
39998.609527,83.8
39998.609551,83.9
39998.609574,84.4
39998.609597,83.0
39998.609620,84.0
39998.609643,83.9
39998.609666,83.9
39998.609689,83.8
39998.609713,83.6
39998.609736,83.5
39998.609759,82.2
39998.609782,83.4
39998.609805,83.6
39998.609828,83.8
39998.609852,83.9
39998.609875,83.8
39998.609898,83.5
39998.609921,84.2
