Time,Used
39998.597939,24053824
39998.597960,25362600
39998.597983,25362600
39998.598006,25362600
39998.598029,157046880
39998.598052,167403096
39998.598076,329048032
39998.598099,433497552
39998.598145,351422984
39998.598168,431080488
39998.598214,343669568
39998.598287,499452912
39998.598324,299964568
39998.598347,334184496
39998.598370,355652744
39998.598416,413501072
39998.598439,252936096
39998.598463,319185504
39998.598486,305032664
39998.598509,298982016
39998.598532,315306632
39998.598555,329842552
39998.598578,312401408
39998.598601,310464088
39998.598624,166617776
39998.598648,167492680
39998.598671,167699408
39998.598694,167911328
39998.598717,168116616
39998.598740,168317376
39998.598763,166596264
39998.598786,212951520
39998.598810,188689744
39998.598833,201784368
39998.598856,234720592
39998.598879,233936896
39998.598902,236305296
39998.598925,235661032
39998.598948,261352768
39998.598972,250031624
39998.598995,296257536
39998.599018,292388440
39998.599041,324121960
39998.599064,320691920
39998.599087,351351624
39998.599111,369448432
39998.599134,374840352
39998.599157,379248648
39998.599180,385475424
39998.599203,392547088
39998.599226,403346864
39998.599249,425088912
39998.599273,453624680
39998.599296,208166480
39998.599319,236175072
39998.599342,256172392
39998.599365,282288656
39998.599388,309581328
39998.599411,344490992
39998.599435,386548728
39998.599458,437993104
39998.599481,201546008
39998.599504,222748200
39998.599527,266866920
39998.599550,267655568
39998.599573,303328480
39998.599597,306121984
39998.599620,335012056
39998.599643,339299224
39998.599666,377856008
39998.599689,383785736
39998.599712,400708704
39998.599736,418597864
39998.599759,438100864
39998.599782,495190592
39998.599805,221019672
39998.599828,276240168
39998.599851,276983840
39998.599875,304787784
39998.599898,354482264
39998.599921,374306016
39998.599944,386231336
39998.599967,394055240
39998.599990,431446408
39998.600013,430401576
39998.600036,452646792
39998.600060,466428424
39998.600083,480104360
39998.600106,484053472
39998.600129,458938336
39998.600152,463013264
39998.600175,475400520
39998.600198,457081440
39998.600222,464969480
39998.600245,473277680
39998.600268,479494376
39998.600291,483949216
39998.600314,463626504
39998.600337,471432448
39998.600361,477541824
39998.600384,482696320
39998.600407,454322080
39998.600430,462590848
39998.600453,470178168
39998.600476,478719056
39998.600499,458205672
39998.600523,478404704
39998.600546,166595096
39998.600569,167060096
39998.600592,167270128
39998.600615,167478784
39998.600638,167684328
39998.600661,167889632
39998.600685,258448040
39998.600708,167043456
39998.600731,201568664
39998.600754,193388104
39998.600777,178627080
39998.600801,192735016
39998.600824,175714128
39998.600847,192586080
39998.600870,176964360
39998.600893,187728184
39998.600916,202134352
39998.600939,186045280
39998.600963,200400288
39998.600986,180156176
39998.601009,189198800
39998.601032,206231528
39998.601055,188946008
39998.601078,202218376
39998.601102,220235968
39998.601125,198682312
39998.601148,216678888
39998.601171,205647616
39998.601194,208678288
39998.601217,214687592
39998.601240,227180720
39998.601264,208975904
39998.601287,220202560
39998.601310,231062952
39998.601333,209743504
39998.601356,217367088
39998.601379,227153056
39998.601402,243264376
39998.601425,307250752
39998.601449,462974912
39998.601472,241020152
39998.601495,478453928
39998.601518,302899832
39998.601541,166752224
39998.601564,343805856
39998.601587,166819120
39998.601611,167019000
39998.601634,167227136
39998.601657,167435992
39998.601680,167641848
39998.601703,167841456
39998.601726,166614608
39998.601749,189149904
39998.601773,185966864
39998.601796,186245440
39998.601819,174831304
39998.601842,191128936
39998.601865,173346128
39998.601888,184733936
39998.601911,194777944
39998.601935,171544232
39998.601958,181011424
39998.601981,189483992
39998.602004,166759616
39998.602027,188164280
39998.602050,184846704
39998.602074,179181016
39998.602097,190757632
39998.602120,194283488
39998.602143,198888456
39998.602166,168654552
39998.602189,169913920
39998.602212,174230544
39998.602236,174927592
39998.602259,177401896
39998.602282,178998928
39998.602305,180111200
39998.602328,186746152
39998.602351,192112832
39998.602374,169316600
39998.602398,187123776
39998.602421,199144016
39998.602444,172861344
39998.602467,177968432
39998.602490,177872056
39998.602513,177563976
39998.602536,180294208
39998.602560,184227856
39998.602583,184944296
39998.602606,184342848
39998.602629,183099168
39998.602652,184083576
39998.602675,185151192
39998.602699,186474200
39998.602722,190070560
39998.602745,171428280
39998.602768,185195088
39998.602791,199372264
39998.602814,173553960
39998.602837,177313840
39998.602861,180983328
39998.602884,184992976
39998.602907,186919336
39998.602930,187121688
39998.602953,189331456
39998.602976,194020208
39998.602999,197338496
39998.603023,166931168
39998.603046,172331368
39998.603069,182375104
39998.603092,196337736
39998.603115,199366768
39998.603138,172351584
39998.603161,175512400
39998.603185,177091616
39998.603208,179483232
39998.603231,181944568
39998.603254,189929528
39998.603277,198113904
39998.603300,181352608
39998.603324,182454384
39998.603347,189514968
39998.603370,195229552
39998.603393,174184224
39998.603416,187133784
39998.603439,195888408
39998.603462,186700240
39998.603486,166138352
39998.603509,166730312
39998.603532,166939496
39998.603555,167147720
39998.603578,167350416
39998.603601,167556792
39998.603624,166659416
39998.603648,178072192
39998.603671,182012832
39998.603694,179341200
39998.603717,180404456
39998.603740,181537656
39998.603763,181768696
39998.603787,184097776
39998.603810,174945816
39998.603833,198927816
39998.603856,196530144
39998.603879,196919560
39998.603902,193556824
39998.603926,189526784
39998.603949,184884832
39998.603972,182931424
39998.603995,172941504
39998.604018,187919208
39998.604041,194562464
39998.604065,188526664
39998.604088,184441568
39998.604111,179530144
39998.604134,172177688
39998.604157,191981200
39998.604180,190105592
39998.604203,185090648
39998.604227,181143824
39998.604250,177393944
39998.604273,196037120
39998.604296,184606432
39998.604319,167994080
39998.604342,180645192
39998.604365,171100456
39998.604388,194341456
39998.604412,166153912
39998.604435,166708424
39998.604458,166907848
39998.604481,167120032
39998.604504,167325456
39998.604527,167531320
39998.604550,134600504
39998.604574,137317976
39998.604597,136008336
39998.604620,160038168
39998.604643,157214776
39998.604666,153338616
39998.604689,179196768
39998.604712,171653136
39998.604736,165174832
39998.604759,184349072
39998.604782,175247384
39998.604805,198550888
39998.604828,191582592
39998.604851,214779824
39998.604874,206921120
39998.604898,232468296
39998.604921,218708232
39998.604944,236424480
39998.604967,255512056
39998.604990,246488000
39998.605013,260971736
39998.605037,280264864
39998.605060,273662752
39998.605083,292885592
39998.605106,287388920
39998.605129,309269064
39998.605152,307131560
39998.605175,325304776
39998.605199,349924576
39998.605222,345576448
39998.605245,364467832
39998.605268,388403896
39998.605291,407602848
39998.605314,406007504
39998.605337,426465080
39998.605361,453495168
39998.605384,449881448
39998.605407,482856152
39998.605430,156515464
39998.605453,170309856
39998.605476,182125248
39998.605499,200308968
39998.605523,193447896
39998.605546,198692392
39998.605569,201440160
39998.605592,201674288
39998.605615,201879704
39998.605638,202084440
39998.605662,202290856
39998.605685,202495232
39998.605708,202700264
39998.605731,202904464
39998.605754,203109656
39998.605777,203314080
39998.605800,203519432
39998.605824,203729936
39998.605847,203928952
39998.605870,204139672
39998.605893,204337968
39998.605916,204542560
39998.605939,204747648
39998.605962,204952536
39998.605986,205156952
39998.606009,205363512
39998.606032,205566496
39998.606055,205775344
39998.606078,205985976
39998.606101,206184664
39998.606124,206388976
39998.606148,206600648
39998.606171,206799168
39998.606194,207003880
39998.606217,207217976
39998.606240,207429040
39998.606263,207627328
39998.606287,207852336
39998.606310,208049312
39998.606333,208254240
39998.606356,208459192
39998.606379,208664616
39998.606402,208868512
39998.606425,209073680
39998.606449,209279072
39998.606472,209484680
39998.606495,209690072
39998.606518,209901136
39998.606541,210102600
39998.606564,210309608
39998.606587,116575120
39998.606611,116774336
39998.606634,116967760
39998.606657,117160536
39998.606680,117337208
39998.606703,222726008
39998.606727,126711744
39998.606750,131529304
39998.606773,135142024
39998.606796,137846360
39998.606819,143640496
39998.606842,143738360
39998.606865,126397808
39998.606889,149039464
39998.606912,153496920
39998.606935,132753128
39998.606958,148682032
39998.606981,149789656
39998.607004,149952416
39998.607028,150328792
39998.607051,155495544
39998.607074,155671136
39998.607097,156826456
39998.607120,157085672
39998.607143,158880784
39998.607166,141810376
39998.607190,147480432
39998.607213,154941024
39998.607236,156974344
39998.607259,157198192
39998.607282,158577256
39998.607305,164173080
39998.607328,166160816
39998.607352,167556472
39998.607375,172300672
39998.607398,149547656
39998.607421,150022256
39998.607444,152465368
39998.607467,152970448
39998.607490,153983784
39998.607513,155141896
39998.607537,156823112
39998.607560,158810608
39998.607583,165882408
39998.607606,256818192
39998.607629,380164008
39998.607652,290448376
39998.607675,277925776
39998.607699,230973344
39998.607722,315430792
39998.607745,116559768
39998.607768,116763848
39998.607791,116968176
39998.607814,117173040
39998.607837,117377240
39998.607861,116634056
39998.607884,116831776
39998.607907,117041040
39998.607930,117249504
39998.607953,117445408
39998.607976,117648624
39998.608000,117854416
39998.608023,118058080
39998.608046,118262736
39998.608069,118458632
39998.608092,118664808
39998.608115,118872920
39998.608138,119072336
39998.608162,119282080
39998.608185,119479392
39998.608208,119686584
39998.608231,119888896
39998.608254,120094248
39998.608277,120295640
39998.608300,120507680
39998.608324,120705984
39998.608347,120915608
39998.608370,121301352
39998.608393,121500896
39998.608416,121709656
39998.608439,121918224
39998.608463,122119176
39998.608486,122326720
39998.608509,122535688
39998.608532,122740840
39998.608555,122945288
39998.608578,123145704
39998.608601,123353904
39998.608625,123562440
39998.608648,123772144
39998.608671,123971744
39998.608694,124182096
39998.608717,124380344
39998.608740,124589160
39998.608763,124797704
39998.608787,125004744
39998.608810,125203416
39998.608833,125412712
39998.608856,125621056
39998.608879,125825960
39998.608902,126035152
39998.608925,126233896
39998.608949,126433720
39998.608972,126638112
39998.608995,126842104
39998.609018,127045992
39998.609041,127254952
39998.609064,127475016
39998.609088,127681680
39998.609111,127885016
39998.609134,128098200
39998.609157,128298024
39998.609180,128498160
39998.609203,128706360
39998.609226,128915688
39998.609250,129114904
39998.609273,129323744
39998.609296,129534168
39998.609319,129736472
39998.609342,129938976
39998.609365,130140616
39998.609388,130346336
39998.609412,130553920
39998.609435,130753648
